Jenis_Biji,Asal_Daerah,Ketinggian_Tanam_mdpl,Suhu_Roasting_C,Waktu_Roasting_Menit,Kelembapan_Persen,Skor_Cacat,Status_QC
Arabica,Jawa,1592.7,203.0,15.0,11.22,1.5,Approved
Arabica,Jawa,1508.7,197.2,12.3,9.76,2.0,Approved
Robusta,Jawa,862.2,197.5,13.8,10.41,2.8,Approved
Arabica,Sulawesi,994.1,200.0,16.1,13.52,3.7,Approved
Robusta,Sumatera,757.2,,10.6,10.89,2.9,Approved
Robusta,Sulawesi,820.8,200.2,11.8,10.73,0.9,Approved
Arabica,Jawa,1269.8,207.6,11.5,9.59,11.4,Approved
Robusta,Bali,669.8,202.5,8.1,8.16,1.1,Approved
Robusta,Bali,814.7,204.1,11.4,10.76,0.0,Approved
Arabica,Jawa,1851.1,209.5,13.8,11.49,0.9,Approved
Robusta,Bali,761.6,201.2,13.1,12.65,0.3,Rejected
Arabica,Jawa,1406.8,203.7,13.2,7.63,0.3,Rejected
Robusta,Bali,739.0,206.8,11.2,9.31,0.7,Rejected
Arabica,Sulawesi,1485.2,195.3,10.7,10.13,0.1,Approved
Robusta,Sumatera,844.2,193.1,14.5,10.99,2.3,Approved
Arabica,Sumatera,1539.0,206.7,11.0,10.78,0.2,Approved
Arabica,Sulawesi,1348.3,207.5,12.6,10.82,0.5,Approved
Robusta,Sulawesi,700.2,,12.3,11.61,0.2,Rejected
Arabica,Jawa,1624.5,205.8,14.9,9.65,0.1,Approved
Arabica,Jawa,1625.9,209.1,13.9,12.4,0.6,Approved
Robusta,Jawa,900.3,204.0,9.4,11.65,1.7,Approved
Robusta,Bali,900.8,206.5,9.6,10.52,6.7,Rejected
Arabica,Jawa,1373.7,213.3,13.2,13.4,4.2,Rejected
Arabica,Sulawesi,1550.6,194.4,11.9,13.33,4.2,Approved
Arabica,Sumatera,1664.1,207.1,11.1,12.4,0.4,Approved
Arabica,Bali,1493.3,215.7,14.0,6.47,0.6,Rejected
Arabica,Jawa,1590.9,206.4,12.4,13.37,0.2,Approved
Arabica,Bali,1396.7,213.3,12.1,12.19,3.0,Approved
Robusta,Bali,919.5,201.9,13.6,14.01,0.1,Rejected
Robusta,Jawa,802.3,204.8,11.2,12.86,1.6,Approved
Robusta,Bali,653.8,205.2,15.1,13.37,0.6,Approved
Arabica,Sumatera,1464.6,193.9,10.4,12.32,0.6,Approved
Arabica,Sulawesi,1190.3,199.2,13.3,13.02,9.4,Approved
Arabica,Sulawesi,1401.8,199.5,14.9,13.99,2.8,Rejected
Arabica,Sumatera,1443.0,209.1,9.2,11.32,3.6,Approved
Arabica,Bali,1448.8,209.4,11.3,8.64,1.7,Approved
Robusta,Jawa,980.4,206.6,14.3,10.54,4.1,Approved
Arabica,Bali,1487.6,209.1,14.3,11.58,2.1,Approved
Arabica,Sumatera,1595.9,204.2,11.7,11.11,5.8,Approved
Arabica,Bali,1674.9,211.0,10.5,9.13,0.7,Rejected
Robusta,Sulawesi,843.7,205.0,13.9,8.55,1.8,Approved
Arabica,Bali,1259.4,205.3,14.4,9.89,2.3,Approved
Arabica,Sumatera,1291.6,203.7,9.7,12.21,1.0,Approved
Arabica,Sulawesi,1402.6,208.4,9.6,13.37,4.2,Approved
Robusta,Bali,754.2,202.9,12.5,12.37,7.8,Rejected
Arabica,Bali,1346.0,209.9,13.3,12.59,1.4,Approved
Robusta,Sulawesi,702.4,199.3,11.4,10.88,1.0,Rejected
Robusta,Jawa,486.5,199.5,13.4,8.39,1.3,Approved
Arabica,Sulawesi,1536.3,208.4,10.6,10.32,3.8,Approved
Arabica,Jawa,1619.0,204.6,7.8,10.61,2.1,Approved
Robusta,Sumatera,740.0,202.7,11.2,10.25,0.1,Approved
Arabica,Sumatera,1417.4,209.5,12.1,11.08,1.6,Approved
Arabica,Sulawesi,1314.7,202.0,11.4,11.66,0.0,Approved
Robusta,Sulawesi,777.5,204.0,9.7,12.28,3.0,Approved
Robusta,Sumatera,610.4,212.0,8.4,10.58,0.8,Approved
Robusta,Jawa,872.9,212.7,11.0,8.14,1.3,Approved
Robusta,Sumatera,507.6,212.9,13.8,10.28,3.2,Approved
Arabica,Sulawesi,1428.1,203.6,14.5,11.07,0.1,Approved
Arabica,Sumatera,1560.2,211.2,14.4,12.83,0.3,Approved
Robusta,Sulawesi,876.1,200.3,10.4,10.15,1.0,Approved
Arabica,Sulawesi,2038.6,200.5,9.7,11.77,0.5,Approved
Arabica,Sumatera,1570.0,193.2,13.0,11.44,0.8,Approved
Robusta,Jawa,693.8,213.4,13.3,11.07,12.6,Rejected
Arabica,Bali,1480.9,200.7,12.8,12.4,3.5,Approved
Arabica,Sumatera,1144.8,204.4,8.0,10.01,4.3,Approved
Arabica,Bali,1483.9,200.4,10.3,10.14,5.5,Approved
Arabica,Sumatera,1333.4,208.5,11.9,10.98,0.8,Approved
Arabica,Bali,1683.1,203.1,13.0,10.04,0.7,Approved
Arabica,Jawa,1390.1,198.5,13.5,11.76,0.5,Approved
Arabica,Jawa,1476.6,207.2,12.3,9.93,3.5,Approved
Arabica,Sumatera,1372.9,197.8,12.7,11.34,2.3,Rejected
Robusta,Sulawesi,898.9,200.8,12.2,10.85,0.5,Approved
Arabica,Bali,1435.8,194.5,13.4,11.32,0.9,Approved
Robusta,Sulawesi,846.1,197.9,12.6,10.31,1.4,Approved
Arabica,Sulawesi,1662.8,205.9,12.1,10.49,1.5,Approved
Arabica,Sulawesi,1596.4,195.2,11.5,11.14,4.4,Approved
Robusta,Jawa,668.8,,12.2,11.3,1.0,Rejected
Arabica,Sumatera,1578.8,205.0,13.0,10.99,4.8,Approved
Robusta,Sumatera,758.1,202.3,12.5,13.56,1.2,Rejected
Arabica,Jawa,1444.2,215.0,12.8,9.51,2.7,Approved
Robusta,Jawa,772.4,214.2,14.7,10.9,5.3,Approved
Arabica,Sumatera,1490.2,200.7,12.5,8.64,4.8,Approved
Robusta,Sulawesi,797.9,207.8,10.7,11.56,0.1,Approved
Arabica,Bali,1489.5,208.7,13.8,9.33,0.5,Approved
Robusta,Bali,836.2,202.0,9.3,10.58,1.3,Approved
Arabica,Bali,1749.4,197.5,9.8,10.44,1.1,Approved
Arabica,Sulawesi,1487.6,204.9,12.7,11.42,2.0,Approved
Robusta,Sumatera,938.5,204.1,13.0,10.17,5.8,Approved
Arabica,Jawa,1426.7,202.8,9.5,10.11,0.2,Approved
Arabica,Sumatera,1159.2,207.2,11.2,13.15,1.2,Approved
Arabica,Sulawesi,1315.1,201.2,10.8,11.43,0.4,Approved
Arabica,Jawa,1812.6,199.2,11.0,10.16,4.5,Approved
Arabica,Sulawesi,1445.2,205.5,13.9,10.62,6.7,Approved
Arabica,Bali,1451.3,206.9,13.4,13.47,1.3,Approved
Robusta,Bali,813.9,199.1,12.0,10.65,0.2,Approved
Arabica,Sulawesi,1880.8,209.6,10.9,9.97,3.1,Approved
Arabica,Jawa,1825.2,196.1,9.3,9.97,2.4,Approved
Robusta,Jawa,1002.6,202.1,14.8,10.18,0.9,Approved
Robusta,Sumatera,701.9,203.7,13.2,10.11,4.4,Approved
Arabica,Bali,1559.1,201.8,10.6,9.08,7.4,Rejected
Arabica,Sumatera,1196.7,202.2,13.4,9.31,1.6,Approved
Arabica,Sumatera,1795.4,,11.9,9.76,1.7,Approved
Arabica,Sulawesi,1266.4,200.7,11.4,11.89,0.7,Approved
Arabica,Sulawesi,1543.4,217.2,12.9,10.43,1.8,Approved
Arabica,Sumatera,1280.5,207.2,10.5,10.69,1.2,Approved
Arabica,Bali,1382.2,205.5,11.3,12.91,0.7,Rejected
Arabica,Sulawesi,1332.5,207.4,12.2,12.94,0.1,Approved
Robusta,Sumatera,715.7,,11.0,10.58,0.6,Approved
Robusta,Sumatera,871.9,200.0,13.3,10.05,0.4,Approved
Arabica,Sumatera,1390.3,199.4,15.7,9.7,1.6,Approved
Arabica,Sumatera,1666.7,201.2,10.5,12.04,1.8,Approved
Arabica,Sumatera,1279.0,205.2,8.7,10.69,1.9,Approved
Robusta,Sumatera,822.3,196.4,8.0,10.42,1.0,Approved
Arabica,Sulawesi,1743.6,205.1,11.7,9.78,1.1,Approved
Arabica,Bali,1397.4,213.5,10.7,9.85,3.6,Approved
Robusta,Sumatera,930.6,205.8,12.4,11.48,1.3,Rejected
Robusta,Jawa,942.3,203.5,12.3,9.03,8.8,Rejected
Robusta,Sulawesi,819.6,201.9,8.8,12.49,1.2,Approved
Robusta,Sulawesi,778.8,,8.4,10.2,2.1,Approved
Arabica,Sumatera,1393.8,200.9,12.6,10.78,0.1,Approved
Arabica,Sulawesi,1596.8,214.2,12.3,8.99,2.1,Rejected
Robusta,Sumatera,696.9,214.7,11.1,10.98,3.8,Approved
Robusta,Bali,597.4,206.3,8.7,10.51,5.7,Approved
Arabica,Bali,1581.7,204.9,12.9,10.92,11.8,Rejected
Arabica,Sulawesi,1438.4,210.2,14.5,13.21,0.7,Rejected
Arabica,Sulawesi,1332.3,210.5,12.6,11.27,1.7,Approved
Robusta,Jawa,794.6,201.0,10.3,9.81,1.2,Approved
Robusta,Sulawesi,822.0,202.4,12.1,9.93,1.7,Approved
Arabica,Jawa,1745.8,198.4,9.3,11.89,0.3,Approved
Arabica,Bali,1372.5,207.0,14.1,12.95,3.9,Rejected
Arabica,Bali,1591.7,208.3,12.2,11.42,4.8,Approved
Robusta,Sumatera,613.3,198.3,8.5,12.03,1.2,Approved
Robusta,Bali,834.9,202.7,11.4,11.91,0.7,Approved
Robusta,Jawa,708.8,198.3,12.9,13.13,0.3,Approved
Arabica,Sulawesi,1318.1,200.5,11.3,8.08,2.3,Approved
Arabica,Sumatera,1312.7,207.8,11.4,12.0,0.7,Approved
Arabica,Jawa,1366.4,201.3,9.6,12.48,4.8,Approved
Arabica,Sulawesi,1558.4,203.5,13.1,8.99,2.2,Approved
Robusta,Sumatera,945.2,196.9,10.7,9.67,2.1,Approved
Robusta,Bali,949.1,205.9,7.7,9.72,1.6,Approved
Robusta,Jawa,1006.1,204.8,11.3,9.91,0.1,Approved
Robusta,Sulawesi,672.1,201.4,14.0,10.28,5.4,Approved
Arabica,Sumatera,1591.5,204.1,11.2,11.36,2.0,Approved
Robusta,Sumatera,894.9,205.9,15.5,12.3,10.3,Rejected
Robusta,Bali,728.9,200.9,12.9,12.62,1.5,Approved
Robusta,Sulawesi,684.2,197.6,12.7,9.74,2.5,Approved
Arabica,Bali,1777.7,214.0,11.7,9.73,0.1,Approved
Arabica,Bali,1423.0,201.8,11.9,12.97,2.0,Rejected
Arabica,Sulawesi,1576.6,204.5,11.5,,2.9,Approved
Robusta,Sulawesi,676.7,210.1,11.4,11.12,3.0,Approved
Arabica,Sulawesi,1073.9,222.6,13.1,11.71,2.9,Rejected
Arabica,Jawa,1653.6,198.8,10.1,10.96,0.5,Rejected
Arabica,Sulawesi,1543.1,207.2,9.8,11.79,7.4,Rejected
Arabica,Sumatera,1601.7,201.5,9.8,10.5,10.7,Approved
Arabica,Bali,2285.2,202.3,16.1,11.4,0.2,Approved
Arabica,Jawa,1083.2,201.4,13.1,8.73,5.5,Rejected
Arabica,Sulawesi,1844.9,199.4,12.6,9.97,0.7,Approved
Arabica,Jawa,1442.5,204.8,9.9,9.98,2.3,Approved
Robusta,Sulawesi,890.6,197.6,13.2,10.44,0.8,Approved
Arabica,Jawa,1490.9,209.7,11.8,9.61,6.9,Approved
Robusta,Bali,647.3,205.3,12.4,10.2,0.2,Approved
Arabica,Bali,1386.0,207.1,10.0,8.73,1.4,Approved
Arabica,Sumatera,1565.9,202.7,12.3,11.82,1.1,Approved
Robusta,Sumatera,896.7,203.2,11.2,10.88,0.8,Approved
Arabica,Sulawesi,1650.1,206.4,10.5,8.44,2.1,Approved
Arabica,Bali,1416.8,199.2,13.5,9.75,0.3,Approved
Arabica,Jawa,1274.0,203.2,8.9,11.5,2.5,Approved
Robusta,Jawa,840.2,200.7,13.1,10.19,7.9,Approved
Arabica,Jawa,1751.4,200.5,13.4,9.95,3.3,Approved
Robusta,Sumatera,722.3,194.5,10.2,10.89,3.9,Approved
Arabica,Jawa,1571.7,211.7,10.4,11.52,0.9,Approved
Arabica,Sumatera,1353.8,201.6,11.6,8.85,0.8,Rejected
Arabica,Sumatera,1651.6,210.8,12.6,11.83,1.5,Approved
Arabica,Sulawesi,1637.1,210.3,11.7,9.8,0.1,Approved
Arabica,Jawa,1869.7,198.6,12.9,10.97,5.8,Approved
Arabica,Jawa,1464.9,199.6,15.5,10.95,0.3,Approved
Arabica,Bali,1633.7,217.8,11.0,10.21,4.7,Rejected
Robusta,Sulawesi,1002.7,213.8,8.6,9.46,0.2,Approved
Arabica,Bali,1759.2,204.8,13.7,10.57,3.5,Approved
Arabica,Sulawesi,1356.2,206.3,15.4,13.44,0.3,Approved
Robusta,Jawa,845.8,201.8,12.8,8.96,0.1,Approved
Arabica,Sumatera,1461.1,207.2,9.8,13.54,2.5,Rejected
Arabica,Sumatera,1487.2,201.4,11.8,10.61,0.7,Approved
Robusta,Sumatera,867.1,194.8,9.8,11.05,2.5,Approved
Robusta,Sumatera,724.8,198.4,13.3,9.37,1.6,Approved
Arabica,Sumatera,1476.8,205.1,9.3,9.84,0.2,Approved
Robusta,Bali,835.8,199.3,11.4,10.25,5.4,Approved
Arabica,Sulawesi,1815.6,,10.0,9.43,1.2,Approved
Arabica,Jawa,1697.1,199.6,12.3,10.69,2.7,Approved
Arabica,Bali,1673.8,201.1,11.3,10.39,1.4,Approved
Robusta,Sulawesi,471.3,209.3,12.4,13.78,1.9,Approved
Arabica,Sumatera,1322.2,206.2,12.0,9.25,0.7,Approved
Arabica,Sulawesi,1691.1,205.0,10.0,11.15,0.4,Approved
Arabica,Sulawesi,1675.2,209.4,13.3,11.37,1.6,Approved
Arabica,Sumatera,1794.5,207.4,11.9,9.39,1.2,Approved
Arabica,Sumatera,1379.2,,10.0,12.03,1.0,Approved
Arabica,Sumatera,1454.1,202.7,16.5,10.4,2.2,Approved
Arabica,Jawa,1172.1,202.9,13.0,,2.3,Approved
Arabica,Sumatera,1421.5,198.5,11.7,11.99,0.1,Approved
Arabica,Jawa,1699.3,202.9,14.8,9.32,0.8,Approved
Arabica,Sumatera,1406.7,209.8,15.7,9.43,1.1,Approved
Arabica,Jawa,1628.1,211.5,11.7,12.03,0.2,Approved
Arabica,Sulawesi,1461.9,209.8,12.7,10.48,0.5,Approved
Robusta,Bali,1062.2,196.0,10.0,,0.1,Approved
Arabica,Sulawesi,1270.5,210.4,11.7,12.82,11.2,Rejected
Arabica,Sulawesi,1517.0,195.8,11.6,10.03,2.7,Approved
Arabica,Sumatera,901.8,,12.4,12.19,0.2,Approved
Arabica,Jawa,1462.6,203.2,12.7,9.87,0.0,Approved
Arabica,Bali,1173.9,208.5,13.1,14.35,2.5,Approved
Arabica,Sumatera,1741.2,198.3,12.5,9.96,1.2,Approved
Arabica,Sumatera,1655.5,210.9,9.6,12.54,3.1,Approved
Arabica,Sumatera,1593.3,197.7,10.1,12.27,5.1,Approved
Arabica,Sulawesi,1804.2,201.7,10.9,11.47,1.8,Approved
Arabica,Jawa,1310.2,200.0,11.4,9.99,0.4,Approved
Arabica,Jawa,1849.5,196.2,14.1,10.77,3.0,Approved
Arabica,Bali,1686.4,205.5,9.7,7.77,6.2,Rejected
Arabica,Jawa,1452.7,214.0,11.3,11.34,1.7,Approved
Arabica,Jawa,1727.1,218.3,13.9,11.52,2.3,Approved
Arabica,Sumatera,1278.7,205.5,11.4,11.2,0.8,Approved
Arabica,Sumatera,1335.1,210.6,12.9,6.54,1.0,Approved
Robusta,Sulawesi,645.5,206.2,11.7,9.1,2.7,Approved
Arabica,Sumatera,1394.2,207.5,12.5,9.88,5.3,Rejected
Arabica,Sumatera,1288.7,203.3,11.5,11.44,2.0,Approved
Robusta,Sumatera,701.6,206.0,13.3,11.43,3.1,Approved
Robusta,Sumatera,764.6,207.7,8.9,10.74,0.4,Approved
Arabica,Sulawesi,1570.5,202.1,11.3,11.95,0.5,Approved
Arabica,Sumatera,1385.9,204.6,12.6,9.46,1.5,Approved
Robusta,Bali,755.8,204.7,13.1,11.92,0.4,Approved
Robusta,Bali,1017.9,209.1,15.0,,2.0,Approved
Arabica,Bali,1117.5,199.7,11.2,11.57,0.7,Rejected
Arabica,Bali,1486.3,204.7,15.0,10.73,3.1,Approved
Arabica,Sumatera,1226.3,214.6,10.7,13.75,3.3,Approved
Arabica,Bali,1897.5,210.8,14.7,11.74,1.2,Approved
Arabica,Sumatera,1682.3,,13.6,9.55,0.4,Approved
Arabica,Sulawesi,1521.2,205.1,10.2,11.37,2.1,Approved
Arabica,Bali,1752.7,206.6,12.6,12.13,9.9,Approved
Robusta,Jawa,817.4,210.0,11.9,10.12,1.9,Rejected
Arabica,Bali,1608.7,212.8,13.3,12.63,0.1,Rejected
Arabica,Bali,1540.0,195.2,11.6,11.57,0.0,Approved
Robusta,Sumatera,620.3,198.4,11.4,7.49,0.8,Rejected
Robusta,Bali,933.1,211.5,14.7,11.45,0.4,Approved
Arabica,Jawa,1646.5,203.6,11.8,10.39,3.4,Approved
Arabica,Sumatera,1557.7,201.6,13.7,11.81,3.7,Approved
Arabica,Sumatera,1169.0,198.7,11.5,12.42,0.6,Approved
Arabica,Sulawesi,1308.0,202.2,15.3,11.29,0.8,Approved
Arabica,Sulawesi,1475.5,198.0,10.6,13.5,0.5,Approved
Arabica,Bali,1518.7,215.5,10.8,10.73,4.8,Rejected
Arabica,Sulawesi,1274.0,204.9,15.0,11.94,1.4,Approved
Arabica,Sulawesi,1982.3,204.7,11.1,12.21,2.1,Approved
Arabica,Sulawesi,1803.3,207.9,15.2,10.85,1.1,Approved
Arabica,Sumatera,1620.4,209.8,13.8,12.17,2.0,Approved
Arabica,Sumatera,1514.4,209.7,11.7,10.11,1.0,Approved
Arabica,Sumatera,1457.6,210.4,8.4,10.37,0.8,Approved
Arabica,Sulawesi,1309.6,201.8,12.0,9.03,2.0,Approved
Robusta,Sumatera,792.7,203.5,12.2,11.36,1.8,Approved
Arabica,Sulawesi,1551.6,208.8,14.3,11.49,0.7,Approved
Arabica,Sumatera,1251.6,202.4,15.2,12.77,0.3,Rejected
Robusta,Sumatera,921.2,205.0,10.6,12.19,0.9,Approved
Arabica,Jawa,1468.9,207.0,13.6,10.57,1.1,Approved
Arabica,Bali,1118.4,208.9,13.5,9.23,2.0,Approved
Arabica,Sulawesi,1327.9,196.1,14.1,11.65,4.9,Approved
Arabica,Jawa,1417.3,208.6,13.0,12.67,0.1,Approved
Robusta,Sumatera,750.5,203.8,8.1,12.13,0.6,Approved
Arabica,Sulawesi,1611.3,208.5,11.7,12.63,0.4,Rejected
Arabica,Sumatera,1232.9,208.9,9.7,10.68,1.4,Approved
Arabica,Bali,1597.2,213.0,11.6,10.3,1.1,Approved
Arabica,Jawa,1190.5,211.8,14.0,9.89,2.6,Rejected
Arabica,Bali,1716.5,211.7,12.6,10.92,0.6,Approved
Arabica,Jawa,1405.8,212.2,14.3,10.88,1.8,Approved
Arabica,Sumatera,1481.3,206.5,12.7,11.31,4.3,Approved
Robusta,Bali,910.0,205.2,9.4,10.81,4.8,Approved
Arabica,Bali,1242.6,209.4,7.0,10.8,6.4,Rejected
Arabica,Sumatera,1220.6,208.7,12.3,9.83,3.0,Approved
Arabica,Bali,1383.3,203.5,11.6,12.41,4.7,Approved
Arabica,Sulawesi,1707.7,207.0,10.0,11.11,0.5,Approved
Arabica,Jawa,1196.1,204.8,8.6,10.74,0.4,Approved
Arabica,Jawa,933.6,200.7,10.5,9.88,0.0,Approved
Arabica,Jawa,1409.8,211.5,11.6,9.0,2.5,Approved
Arabica,Sulawesi,1610.3,205.3,13.3,12.96,5.5,Rejected
Arabica,Jawa,1740.1,215.2,12.4,11.83,0.4,Rejected
Robusta,Sumatera,689.7,196.9,15.2,8.56,2.0,Approved
Arabica,Bali,1417.7,202.2,9.9,12.14,2.7,Approved
Arabica,Sulawesi,1730.8,205.2,13.8,12.38,5.3,Approved
Arabica,Jawa,1126.1,210.7,12.1,11.19,2.1,Approved
Robusta,Sumatera,614.8,207.0,13.4,13.4,7.0,Approved
Arabica,Bali,1538.1,206.6,11.1,11.33,0.8,Approved
Arabica,Bali,1589.8,199.4,14.1,8.87,0.9,Approved
Robusta,Sulawesi,993.2,199.2,12.6,11.55,1.6,Approved
Robusta,Sulawesi,802.2,206.6,10.6,11.37,1.0,Approved
Robusta,Sulawesi,614.6,,12.0,10.1,0.0,Approved
Arabica,Sumatera,1368.4,202.3,11.5,11.86,2.6,Approved
Arabica,Sumatera,1590.7,207.5,13.0,8.5,2.8,Rejected
Arabica,Sulawesi,1303.5,200.1,9.6,12.49,2.7,Approved
Robusta,Jawa,907.4,213.0,11.9,9.68,0.8,Approved
Arabica,Bali,1589.4,211.1,12.8,9.52,1.5,Approved
Arabica,Bali,1431.5,197.1,12.1,10.83,0.9,Approved
Arabica,Sumatera,1534.1,200.3,14.7,11.65,0.0,Approved
Robusta,Bali,1043.6,193.6,13.5,11.25,1.7,Rejected
Arabica,Jawa,1458.7,201.1,12.0,9.89,0.3,Approved
Arabica,Bali,1622.0,208.8,12.4,10.24,0.2,Approved
Arabica,Sumatera,1531.4,202.9,12.6,9.3,2.8,Approved
Arabica,Sumatera,1382.7,207.3,12.8,10.66,0.0,Approved
Arabica,Jawa,1544.8,197.4,8.3,12.61,6.4,Approved
Arabica,Jawa,1642.9,209.0,11.4,10.99,1.4,Approved
Arabica,Bali,1090.0,202.2,9.0,,8.2,Rejected
Arabica,Bali,1731.8,205.1,14.6,13.18,0.1,Approved
Arabica,Sumatera,1432.7,204.5,11.9,10.12,1.8,Approved
Arabica,Jawa,1585.1,198.6,11.6,10.72,0.9,Approved
Arabica,Jawa,1739.4,199.2,13.8,14.26,3.7,Approved
Arabica,Jawa,1225.7,209.8,12.8,13.17,0.9,Approved
Arabica,Bali,1358.1,207.0,9.7,8.49,0.6,Approved
Arabica,Jawa,1442.3,210.3,11.9,11.58,3.9,Approved
Arabica,Sumatera,1343.2,206.6,11.3,11.0,0.9,Approved
Arabica,Sumatera,1847.0,205.7,8.5,12.24,0.0,Approved
Robusta,Bali,631.8,196.4,10.6,9.88,1.0,Approved
Arabica,Sulawesi,1388.9,,11.6,9.74,2.1,Approved
Robusta,Bali,802.9,204.9,11.8,9.99,0.6,Approved
Arabica,Sulawesi,1259.6,214.8,9.0,10.14,1.1,Approved
Arabica,Jawa,1420.9,208.4,14.3,12.22,0.1,Approved
Robusta,Bali,754.2,212.7,11.8,9.23,1.8,Approved
Arabica,Sumatera,1433.4,208.0,12.1,10.07,2.8,Approved
Arabica,Jawa,1481.3,201.4,12.8,8.32,1.1,Approved
Arabica,Sumatera,1394.1,205.6,10.4,12.51,1.1,Rejected
Arabica,Jawa,1197.1,206.2,12.9,12.91,0.2,Approved
Robusta,Bali,769.3,200.3,11.3,10.51,0.5,Rejected
Robusta,Sulawesi,804.7,203.1,10.2,10.55,0.3,Approved
Robusta,Jawa,1041.1,204.0,13.1,11.68,1.3,Approved
Arabica,Sulawesi,1545.1,213.0,15.0,13.21,1.5,Rejected
Robusta,Jawa,843.4,194.6,13.4,11.61,5.9,Rejected
Robusta,Sumatera,623.2,,13.8,9.95,0.2,Approved
Arabica,Sumatera,1840.5,200.3,11.0,8.57,1.8,Approved
Arabica,Jawa,1540.5,198.1,8.8,9.33,1.5,Rejected
Robusta,Sulawesi,566.7,210.9,15.0,11.11,1.5,Approved
Arabica,Bali,1353.4,208.7,16.1,10.02,4.1,Approved
Robusta,Bali,815.1,,15.1,11.29,0.5,Approved
Arabica,Sumatera,1655.0,209.0,11.3,10.17,0.1,Approved
Robusta,Bali,955.6,215.3,9.7,9.41,2.2,Approved
Arabica,Sumatera,1546.8,207.8,9.9,9.23,0.8,Approved
Arabica,Bali,1450.3,,8.6,13.34,0.0,Rejected
Arabica,Jawa,1740.1,206.7,11.8,12.33,0.6,Approved
Robusta,Sumatera,820.4,211.2,15.2,13.6,0.7,Rejected
Arabica,Sumatera,1106.6,201.1,11.7,11.81,1.9,Approved
Arabica,Jawa,1276.6,201.7,12.6,10.36,0.4,Approved
Arabica,Sumatera,1462.8,203.5,14.8,12.99,1.1,Approved
Robusta,Bali,1148.7,194.5,11.2,10.95,1.3,Approved
Arabica,Bali,1488.7,205.7,16.1,11.33,1.2,Approved
Robusta,Sumatera,875.8,195.6,16.0,10.94,7.3,Approved
Arabica,Bali,1109.8,205.3,11.7,6.58,0.1,Rejected
Arabica,Sulawesi,1528.7,209.3,10.8,13.41,6.0,Rejected
Arabica,Sumatera,1136.4,202.6,13.4,11.74,1.7,Approved
Arabica,Jawa,1651.9,213.4,11.3,11.49,3.2,Approved
Robusta,Sulawesi,591.2,197.7,9.7,10.91,1.1,Rejected
Arabica,Sumatera,1583.9,211.0,14.6,11.25,1.2,Approved
Arabica,Jawa,1327.2,,14.4,10.1,4.2,Approved
Robusta,Bali,748.1,196.4,12.3,11.92,4.5,Approved
Arabica,Jawa,1708.3,218.6,9.5,9.04,0.5,Rejected
Arabica,Sulawesi,1616.7,,9.5,11.28,0.4,Approved
Robusta,Bali,685.0,200.6,12.2,11.84,1.4,Approved
Arabica,Sumatera,1616.0,198.0,11.0,10.7,4.6,Approved
Arabica,Bali,1358.6,203.9,11.3,11.56,0.8,Approved
Robusta,Sumatera,875.3,204.4,14.0,9.51,2.1,Rejected
Arabica,Sumatera,1829.9,205.5,13.5,9.55,2.5,Approved
Arabica,Jawa,1714.1,203.5,14.8,11.36,3.0,Rejected
Arabica,Jawa,1354.1,,10.0,12.02,1.7,Approved
Robusta,Jawa,830.2,203.1,11.3,8.19,1.0,Rejected
Arabica,Sulawesi,1241.4,195.3,13.5,11.78,6.8,Approved
Arabica,Sulawesi,1614.5,204.3,12.9,10.19,1.9,Approved
Robusta,Jawa,638.9,193.2,15.1,10.71,2.6,Approved
Robusta,Sulawesi,812.2,206.8,12.8,,0.8,Rejected
Arabica,Bali,1267.6,200.1,15.7,9.72,2.2,Approved
Arabica,Bali,1443.4,205.8,13.1,12.45,0.6,Approved
Arabica,Sulawesi,1439.8,211.6,14.1,11.05,0.6,Approved
Robusta,Sulawesi,589.4,200.3,11.4,10.43,2.5,Approved
Arabica,Bali,1577.8,210.3,12.0,10.83,1.5,Approved
Arabica,Sumatera,1550.3,202.8,13.8,11.73,2.3,Approved
Robusta,Bali,1051.0,213.8,15.2,11.66,0.6,Approved
Robusta,Bali,711.6,203.2,13.5,10.89,1.8,Approved
Arabica,Sulawesi,1709.7,200.8,11.8,12.64,1.2,Approved
Robusta,Bali,922.5,208.4,14.8,12.46,1.8,Approved
Arabica,Sulawesi,1403.3,,7.6,11.62,0.7,Approved
Robusta,Sulawesi,734.6,200.8,9.2,11.08,2.5,Approved
Arabica,Jawa,1598.2,202.6,13.4,11.99,3.3,Approved
Arabica,Bali,1428.4,204.8,12.0,11.47,0.6,Approved
Robusta,Sumatera,903.4,211.7,13.2,12.59,0.7,Rejected
Arabica,Jawa,1647.9,195.3,12.1,12.35,2.2,Approved
Arabica,Sulawesi,1118.1,205.1,13.1,9.47,2.4,Approved
Robusta,Sulawesi,797.9,208.1,10.4,9.37,2.4,Approved
Robusta,Sumatera,822.4,206.0,13.1,,2.3,Approved
Arabica,Sulawesi,1417.7,211.5,14.0,12.46,1.0,Approved
Arabica,Bali,1482.2,204.6,14.4,8.64,1.0,Approved
Arabica,Jawa,1492.5,204.1,16.0,11.59,0.6,Approved
Arabica,Sulawesi,1153.8,208.0,12.5,11.54,0.3,Rejected
Arabica,Sulawesi,1799.0,205.5,12.5,12.74,2.4,Approved
Arabica,Sumatera,1508.3,203.0,9.0,11.27,0.2,Approved
Robusta,Bali,807.5,207.6,10.9,8.99,5.6,Rejected
